443, 0, 3, -16, -39, -6, -61, -8, -129, 0, -61, 8, -39, 6, 3, 16, 462, 0, 45, -119, -15, -23, 45, -87, 12, 0, 45, 87, -15, 23, 45, 119
461, 0, 127, 94, 156, 65, -77, 28, 103, 0, -77, -28, 156, -65, 127, -94, 455, 0, -63, -134, -28, -63, -63, 20, -99, 0, -63, -20, -28, 63, -63, 134
735, 0, 7, -42, 5, 70, -107, -24, 55, 0, -107, 24, 5, -70, 7, 42, 559, 0, 45, -86, -1, 28, 41, 58, 39, 0, 41, -58, -1, -28, 45, 86
293, 0, -3, -54, 60, 97, 51, -18, 27, 0, 51, 18, 60, -97, -3, 54, 487, 0, 31, 147, 101, -16, -27, -99, 207, 0, -27, 99, 101, 16, 31, -147
303, 0, 27, 110, -102, -11, -1, -96, 49, 0, -1, 96, -102, 11, 27, -110, 609, 0, -42, -61, 56, 61, -50, -177, 79, 0, -50, 177, 56, -61, -42, 61
574, 0, -13, -46, -112, -66, 99, -80, -114, 0, 99, 80, -112, 66, -13, 46, 533, 0, -19, -5, -56, 115, 37, 77, -121, 0, 37, -77, -56, -115, -19, 5
491, 0, 82, 121, -77, 48, 46, -65, -1, 0, 46, 65, -77, -48, 82, -121, 448, 0, 170, 38, 61, -53, -26, -120, 110, 0, -26, 120, 61, 53, 170, -38
511, 0, -118, -9, -115, -24, -20, -13, 131, 0, -20, 13, -115, 24, -118, 9, 521, 0, 148, -82, -76, 61, -44, 10, -105, 0, -44, -10, -76, -61, 148, 82
462, 0, -23, -81, 104, 30, -39, -91, -154, 0, -39, 91, 104, -30, -23, 81, 367, 0, -14, -95, -67, 14, 100, 9, 75, 0, 100, -9, -67, -14, -14, 95
585, 0, -28, 6, 159, 66, 58, 58, -131, 0, 58, -58, 159, -66, -28, -6, 516, 0, 71, 4, -160, 88, -111, -40, 28, 0, -111, 40, -160, -88, 71, -4
488, 0, 63, 2, 61, -117, 97, -140, -58, 0, 97, 140, 61, 117, 63, -2, 530, 0, -100, 50, -10, 58, -56, -42, -166, 0, -56, 42, -10, -58, -100, -50
